EGAZ00001018600_2014_ICGC_130906_D81P8DQ1_0158_D2B80ACXX.nopd.AOCS_135_ICGCDBDE20130916034.rsem.bam.aes	19GB	Aug 11, 2016 7:15:00 PM
EGAZ00001018601_2014_ICGC_IcgcOvarian_AOCS001_1DNA_7PrimaryTumour_ICGCDBPC20130205002_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	134GB	Aug 12, 2016 5:45:00 AM
EGAZ00001018602_2014_ICGC_IcgcOvarian_AOCS123_1DNA_7PrimaryTumour_ICGCDBPC20130607006_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	113GB	Aug 12, 2016 3:22:00 AM
EGAZ00001018603_2014_ICGC_IcgcOvarian_AOCS148_1DNA_1NormalBlood_ICGCDBPC20130205167_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	95GB	Aug 12, 2016 2:39:00 AM
EGAZ00001018604_2014_ICGC_IcgcOvarian_AOCS078_1DNA_1NormalBlood_ICGCDBPC20130205125_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	95GB	Aug 12, 2016 2:00:00 AM
EGAZ00001018605_2014_ICGC_IcgcOvarian_AOCS120_1DNA_12Ascites_ICGCDBPC20130205099_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	138GB	Aug 12, 2016 6:13:00 AM
EGAZ00001018606_2014_ICGC_IcgcOvarian_AOCS170_1DNA_12Ascites_ICGCDBDE20131003009_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	126GB	Aug 12, 2016 5:22:00 AM
EGAZ00001018607_2014_ICGC_IcgcOvarian_AOCS094_1DNA_14TumourLocalRecurrence_ICGCDBPC20130205066_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	124GB	Aug 12, 2016 5:26:00 AM
EGAZ00001018608_2014_ICGC_IcgcOvarian_AOCS104_1DNA_7PrimaryTumour_ICGCDBPC20130205076_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	127GB	Aug 12, 2016 4:54:00 AM
EGAZ00001018609_2014_ICGC_IcgcOvarian_AOCS055_1DNA_7PrimaryTumour_ICGCDBPC20130205011_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	131GB	Aug 12, 2016 6:16:00 AM
EGAZ00001018610_2014_ICGC_IcgcOvarian_AOCS061_1DNA_1NormalBlood_ICGCDBPC20130205022_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	106GB	Aug 12, 2016 3:31:00 AM
EGAZ00001018611_2014_ICGC_IcgcOvarian_AOCS169_1DNA_1NormalBlood_ICGCDBDE20131003007_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	92GB	Aug 12, 2016 3:24:00 AM
EGAZ00001018612_2014_ICGC_IcgcOvarian_AOCS144_1DNA_1NormalBlood_ICGCDBPC20130205159_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	106GB	Aug 12, 2016 4:40:00 AM
EGAZ00001018613_2014_ICGC_IcgcOvarian_AOCS150_1DNA_12Ascites_ICGCDBPC20130205171_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	129GB	Aug 12, 2016 5:49:00 AM
EGAZ00001018614_2014_ICGC_IcgcOvarian_AOCS059_1DNA_7PrimaryTumour_ICGCDBPC20130205019_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	130GB	Aug 12, 2016 6:48:00 AM
EGAZ00001018615_2014_ICGC_130906_D81P8DQ1_0153_C2704ACXX.nopd.AOCS_077_ICGCDBDE20130916012.rsem.bam.aes	18GB	Aug 11, 2016 8:50:00 PM
EGAZ00001018616_2014_ICGC_130906_D81P8DQ1_0153_C2704ACXX.nopd.AOCS_109_ICGCDBDE20130916024.rsem.bam.aes	23GB	Aug 11, 2016 9:30:00 PM
EGAZ00001018617_2014_ICGC_IcgcOvarian_AOCS167_1DNA_16TumourMetastasisToDistantLocation_ICGCDBDE20130904024_IlluminaIGNOutsourcing_NoCapture_Bwa_HiSeq.jpearson.bam.aes	112GB	Aug 12, 2016 5:45:00 AM
