"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin","Signature 1","Signature 2","Signature 3","Signature 4","Signature 5","Signature 6","Signature 7","Signature 8","Signature 9","Signature 10","Signature 11","Signature 12","Signature 13","Signature 14","Signature 15","Signature 16","Signature 18","Signature 19","Signature 20","Signature 21","Signature 23","Signature 24","Signature 25","Signature 26","Signature 29","Signature 30","Sample"
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440842644505312,NA,0.371220926271538,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-091-1/SP101622 primary "
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446554988423794,NA,0.374581838373567,0.0686274255978061,0,0,0,0,0,NA,0,0,0,0,0.0719720022696815,0,0,0,0,0,0,0,0,0,0,0,"AOCS-065-13/SP101560 new "
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466783280259637,NA,0.381383636584592,0.0703099628002676,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-094-1/SP101642 primary-high-vaf "
"89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467231784494054,0,0.174375383651362,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0.0967794947204706,0.0619500472219117,0,0,0,"PT189-primary_colon primary-low-vaf "
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473241168825983,NA,0.296169937715513,0.0935784930968875,0,0,0,0.110610404918513,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-088-1/SP101610 primary-low-vaf "
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49335404013309,0,0.407535451951496,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-034-1/SP101523 primary-low-vaf "
"101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493554336770982,NA,0.323055572965205,0,0,0.0604650664166115,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-091-1/SP101622 primary-high-vaf "
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49459186895024,NA,0.254350352015249,0.123430620190103,0,0,0,0.0793058201812593,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-088-1/SP101610 primary "
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496851695223467,NA,0.417718827940583,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-093-1/SP101634 primary "
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499130219447186,NA,0.2672951254047,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.076585394134565,0,"AOCS-088-1/SP101610 primary-high-vaf "
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501049280201421,NA,0.346158321132171,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-137-12/SP101866 primary-low-vaf "
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504074949928848,NA,0.440078338275312,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-093-12/SP101636 primary "
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505292546713756,0,0.162982998156732,0,0,0,0.0727956808468024,0,0,NA,0,0,NA,0,0.130361537755191,0,0,0,0,0,0,0,0.0805245703434504,0,0,0,"PT189-primary_left_ovary primary-low-vaf "
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506269467031109,NA,0.270105082043618,0,0,0,0.0722316306466027,0,0,0.115250523849161,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-086-1/SP101604 primary-binder "
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514302266802594,NA,0.416767429731416,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-139-1/SP101891 primary-low-vaf "
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521713184980846,0,0.180674484347059,0,0,0,NA,0,0,NA,0,0,NA,0,0.201695610997023,0,0,0,0,0,0,0,0,0,0.0747199384843331,0,"PT189-primary_left_ovary primary-binder "
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523659192965708,0,0.272784391848796,0,0,0.0880755389114269,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"PT189-primary_left_ovary primary "
"106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52982966257118,0,0.301925844738576,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.0754789628579962,0,"AOCS-095-1/SP101648 primary-high-vaf "
