"","Signature.1","Signature.2","Signature.3","Signature.4","Signature.5","Signature.6","Signature.7","Signature.8","Signature.9","Signature.10","Signature.11","Signature.12","Signature.13","Signature.14","Signature.15","Signature.16","Signature.17","Signature.18","Signature.19","Signature.20","Signature.21","Signature.22","Signature.23","Signature.24","Signature.25","Signature.26","Signature.27","Signature.28","Signature.29","Signature.30","Cisplatin..Gallus.gallus","Cyclophosphamide..Gallus.gallus","Etoposide..Gallus.gallus","Cisplatin..C..Elegans.wildtype","Cisplatin..C..Elegans.fan.1","Cisplatin..C..Elegans.fcd.2","Cisplatin..C..Elegans.lig.4","Cisplatin..C..Elegans.lig.4..fcd.2","Cisplatin..C..Elegans.mus.81","Cisplatin..C..Elegans.polq.1","Cisplatin..C..Elegans.slx.1","Cisplatin..C..Elegans.xpf.1","Sample"
"95",0.0847749455958815,0,0.478265750447282,0,0,0,0,0.174997438783725,0,0,0,0,0,0,0,0.0972202402669115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-153-1/SP102035 all"
"104",0.0847805088054571,0,0.534759851906334,0,0,0,0,0.0766103290454545,0,0,0,0,0,0,0,0.111416760967985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-164-1/SP102113 all"
"56",0.08778877376428,0,0.372705850323601,0,0,0,0,0.284384379445016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-114-1/SP101700 all"
"91",0.0879064774088862,0,0.559230877849884,0,0,0,0,0.0670822087278256,0,0,0,0,0,0,0,0.119505885633739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-149-1/SP102000 all"
"48",0.0886196903942892,0,0.405975194428778,0,0,0,0,0.242249074789659,0,0,0,0,0,0,0,0.0829526694203895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-105-1/SP101666 all"
"94",0.0886566221763919,0,0.449034962187429,0,0,0,0,0.163278896972142,0,0,0,0,0,0,0,0.0653968913767423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-152-1/SP102025 all"
"45",0.0902349448212832,0,0.110565221485833,0,0.36123194533157,0,0,0.284424038710306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-096-1/SP101654 all"
"5",0.0902493097948246,0,0.618937372164565,0,0,0,0,0,0,0,0,0,0,0,0,0.0875314833417852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-034-1/SP101523 all"
"10",0.0916437407833502,0,0.392199127039626,0.0631407301493045,0,0,0,0.250124217553439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-058-1/SP101532 all"
"85",0.0961011075446177,0,0.319881811819988,0,0,0,0,0.266329348774672,0,0,0,0,0,0,0,0.08762529615991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-143-1/SP101941 all"
"7",0.0994393901088573,0.0714929630734216,0.289350157364438,0,0,0,0,0,0,0,0,0,0.308154582898906,0,0,0.0893963758091596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-055-1/SP101526 all"
"14",0.10059157520168,0,0.33366561380727,0,0,0,0,0.231743244738414,0,0,0,0,0,0,0,0.14250011228119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-063-1/SP101548 all"
"33",0.104742051607373,0,0.513598165147046,0,0,0,0,0.169365330744002,0,0,0,0,0,0,0,0.0823999681696437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-090-1/SP101616 all"
"8",0.106516711866144,0,0.489867572125458,0,0,0,0,0.234594189574694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-056-1/SP101528 all"
"23",0.107297255053036,0,0.287520501632601,0,0.178638071273203,0,0,0.197015949116493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-079-1/SP101580 all"
"29",0.107704633933827,0,0.605403675640449,0,0.106898274686,0,0,0.0791767968659785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-086-1/SP101604 all"
"84",0.111263934058853,0,0.404935361017415,0,0,0,0,0.143065164992349,0.0752532549855727,0,0,0,0.0970770603612131,0,0,0.0758635314886279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-142-13/SP101931 all"
"113",0.118024937775474,0,0.48015820595768,0,0,0,0,0,0,0,0,0,0,0,0,0.190136224591205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-170-12/SP102177 all"
"112",0.119465349931238,0,0.456196815700941,0,0,0,0,0.064487154652166,0.0647898681029723,0,0,0,0,0,0,0.197727922942288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-170-1/SP102174 all"
"103",0.119992709904842,0,0.150580597197321,0,0.177363936821954,0,0,0.342012481777041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AOCS-163-1/SP102103 all"
